generation_time,C.NTP.offset,Difference
1407240432148.0,-23434.0,3220.0
1407240432195.0,1124.0,3247.0
1407240432215.0,-65610.0,3246.0
1407240432236.0,105.0,3246.0
1407240432245.0,6683.0,3235.0
1407240432250.0,714.0,3219.0
1407240432299.0,50413.0,3247.0
1407240432310.0,1378.0,3237.0
1407240432314.0,-890.0,3221.0
1407240432349.0,-23434.0,3235.0
1407240432370.0,1124.0,3235.0
1407240432380.0,-65610.0,3225.0
1407240432382.0,-70798.0,3206.0
1407240432433.0,714.0,3236.0
1407240432446.0,50413.0,3228.0
1407240432452.0,-890.0,3214.0
1407240432498.0,105.0,3239.0
1407240432512.0,6683.0,3232.0
1407240432513.0,-23434.0,3213.0
1407240432525.0,-70798.0,3204.0
1407240432571.0,1124.0,3229.0
1407240432572.0,1378.0,3209.0
1407240432585.0,714.0,3202.0
1407240432626.0,-65610.0,3222.0
1407240432646.0,50413.0,3221.0
1407240432659.0,-890.0,3214.0
1407240432681.0,105.0,3215.0
1407240432695.0,6683.0,3208.0
1407240432715.0,1378.0,3207.0
1407240432717.0,-23434.0,3189.0
1407240432747.0,-70798.0,3198.0
1407240432773.0,-65610.0,3203.0
1407240432788.0,1124.0,3198.0
1407240432826.0,714.0,3215.0
1407240432834.0,1378.0,3202.0
1407240432838.0,-890.0,3185.0
1407240432879.0,50413.0,3206.0
1407240432893.0,105.0,3199.0
1407240432899.0,6683.0,3184.0
1407240432918.0,-23434.0,3183.0
1407240432955.0,1124.0,3199.0
1407240432974.0,-70798.0,3197.0
1407240432991.0,-65610.0,3193.0
1407240433032.0,1378.0,3214.0
1407240433056.0,714.0,3217.0
1407240433063.0,-890.0,3203.0
1407240433094.0,50413.0,3214.0
1407240433098.0,6683.0,3197.0
1407240433121.0,105.0,3199.0
1407240433159.0,-70798.0,3216.0
1407240433177.0,-23434.0,3214.0
1407240433184.0,1124.0,3200.0
1407240433194.0,714.0,3189.0
1407240433226.0,-890.0,3201.0
1407240433230.0,-65610.0,3184.0
1407240433285.0,50413.0,3218.0
1407240433297.0,6683.0,3210.0
1407240433308.0,105.0,3200.0
1407240433353.0,-23434.0,3224.0
1407240433373.0,1378.0,3223.0
1407240433381.0,-70798.0,3211.0
1407240433413.0,714.0,3222.0
1407240433439.0,1124.0,3227.0
1407240433444.0,-890.0,3212.0
1407240433511.0,-65610.0,3258.0
1407240433514.0,50413.0,3240.0
1407240433517.0,105.0,3222.0
1407240433558.0,1378.0,3243.0
1407240433574.0,6683.0,3238.0
1407240433584.0,-23434.0,3227.0
1407240433617.0,1124.0,3240.0
1407240433647.0,-70798.0,3249.0
1407240433676.0,-65610.0,3257.0
1407240433680.0,-890.0,3240.0
1407240433699.0,714.0,3239.0
1407240433704.0,6683.0,3223.0
1407240433714.0,105.0,3212.0
1407240433768.0,50413.0,3246.0
1407240433774.0,1378.0,3231.0
1407240433786.0,-23434.0,3222.0
1407240433816.0,714.0,3231.0
1407240433828.0,-70798.0,3223.0
1407240433858.0,1124.0,3232.0
1407240433903.0,-65610.0,3256.0
1407240433911.0,-890.0,3244.0
1407240433916.0,1378.0,3228.0
1407240433975.0,50413.0,3266.0
1407240433984.0,6683.0,3254.0
1407240433989.0,105.0,3239.0
1407240434027.0,-23434.0,3256.0
1407240434030.0,-70798.0,3238.0
1407240434053.0,1124.0,3241.0
1407240434099.0,-65610.0,3266.0
1407240434111.0,105.0,3257.0
1407240434112.0,-890.0,3237.0
1407240434119.0,714.0,3224.0
1407240434153.0,6683.0,3237.0
1407240434192.0,50413.0,3255.0
1407240434219.0,105.0,3262.0
1407240434238.0,1124.0,3260.0
1407240434256.0,-23434.0,3257.0
1407240434260.0,-70798.0,3240.0
1407240434298.0,1378.0,3258.0
1407240434301.0,714.0,3240.0
1407240434306.0,-65610.0,3224.0
1407240434319.0,-890.0,3217.0
1407240434373.0,50413.0,3250.0
1407240434395.0,1378.0,3251.0
1407240434413.0,1124.0,3248.0
1407240434445.0,-23434.0,3260.0
1407240434447.0,-70798.0,3241.0
1407240434480.0,-65610.0,3253.0
1407240434498.0,714.0,3251.0
1407240434509.0,-890.0,3241.0
1407240434523.0,50413.0,3234.0
1407240434549.0,1378.0,3239.0
1407240434574.0,105.0,3244.0
1407240434582.0,6683.0,3231.0
1407240434616.0,6683.0,3244.0
1407240434641.0,-70798.0,3249.0
1407240434650.0,-23434.0,3237.0
1407240434697.0,1124.0,3263.0
1407240434712.0,-890.0,3257.0
1407240434719.0,714.0,3244.0
1407240434754.0,-65610.0,3258.0
1407240434770.0,50413.0,3253.0
1407240434773.0,1378.0,3236.0
1407240434785.0,105.0,3227.0
1407240434808.0,-23434.0,3229.0
1407240434824.0,6683.0,3224.0
1407240434879.0,-70798.0,3259.0
1407240434900.0,1124.0,3259.0
1407240434915.0,-65610.0,3253.0
1407240434920.0,714.0,3238.0
1407240434936.0,-890.0,3233.0
1407240434975.0,50413.0,3251.0
1407240434977.0,105.0,3233.0
1407240434988.0,6683.0,3223.0
1407240435030.0,-23434.0,3244.0
1407240435042.0,1378.0,3235.0
1407240435068.0,-70798.0,3241.0
1407240435078.0,1124.0,3230.0
1407240435117.0,-65610.0,3248.0
1407240435118.0,714.0,3229.0
1407240435120.0,-890.0,3210.0
1407240435151.0,50413.0,3220.0
1407240435174.0,105.0,3222.0
1407240435190.0,6683.0,3218.0
1407240435222.0,-23434.0,3229.0
1407240435229.0,1378.0,3215.0
1407240435241.0,-70798.0,3207.0
